description;feature;column
made in Green;MADE IN GREEN by OEKO-TEX;Labels
nachhaltig produziert;Aus nachhaltiger Produktion;Labels
aus fairer Produktion;Aus fairer Produktion;Labels
Fair-Trade;Fair-Trade;Labels
Pflanzenfärbung;Pflanzenfärbung;Labels
nachhaltig gefertigter;Aus nachhaltiger Produktion;Labels
rundum nachhaltig;Aus nachhaltiger Produktion;Labels
Baumwolle für hessnatur Jeans stammt aus kontrolliert biologischem Anbau;Bio-Baumwolle;Material
Bio-Denim;Bio-Denim;Material
Recycling-Polyester;Recycled;Labels
biologisch angebauter Baumwolle;Bio-Baumwolle;Material
Bio-Baumwolle;Bio-Baumwolle;Material
Zero Waste ;Zero Waste;Labels
(organic cotton);Bio-Baumwolle;Material
organic cotton;Bio-Baumwolle;Material
Eukalyptusfaser;Eukalyptus;Material
recycelt nachhaltige Produktion;Recycled;Labels
recycelten Polyamid;Recycled;Labels
recyceltem;Recycled;Labels
recycelbar;Recycelbar;Labels
Recyceltes Polyester;Recycled;Labels
recycelten PET-Flaschen;Recycled;Labels
Recycled Polyester;Recycled;Labels
recycelten Textilien;Recycled Texile;Labels
Zero Waste;Zero Waste;Labels
Biobaumwolle;Bio-Baumwolle;Material
Bio Baumwoll;Bio-Baumwolle;Material
Bio-Baumwoll-Mix;Bio-Baumwolle;Material
GOTS;GOTS (Global Organic Textile Standard);Labels3-Siegel
(GOTS);GOTS (Global Organic Textile Standard);Labels3-Siegel
GOTS-zertifiziert;GOTS (Global Organic Textile Standard);Labels3-Siegel
(GOTS-zertifiziert);GOTS (Global Organic Textile Standard);Labels3-Siegel
Bio Baumwolle;Bio-Baumwolle;Material
Global Organic Textile Standard;GOTS (Global Organic Textile Standard);Labels3-Siegel
recycelter;Recycled;Labels3
recycelte;Recycled;Labels3
recycelten;Recycled;Labels3
recycelten PET-Flaschen ;Recycled;Labels3
Obermaterial: PVC ;PVC;Material
Obermaterial: Nylon;Nylon;Material
Obermaterial: Synthetik;Synthetik;Material
Obermaterial: Textil;Textil;Material
Obermaterial aus Leinen;Leinen;Material
Obermaterial: 100% Polyester;Polyester;Material
Obermaterial: Leinen;Leinen;Material
Obermaterial: Baumwolle;Baumwolle;Material
Obermaterial: 100% Papierstroh;Papierstroh;Material
Obermaterial: 100% Polyurethan;Polyurethan;Material
Obermaterial: 100% Kunstleder;Kunstleder;Material
Obermaterial: 100% Papier;Papier;Material
Obermaterial: 100% Stroh;Stroh;Material
Obermaterial: 100% Nylon;Nylon;Material
Obermaterial: 100% Leinen;Leinen;Material
Obermaterial: 100% Stoff;Textil;Material
Material: 100% Viskose;Viskose;Material
recycelten Kaffeebohnen;Recycelte Kaffeebohnen;Labels
Jersey-Bllazer;Jersey;Material
Kunstleder-Leggins;Kunstleder;Material
Baumwollpullover;Baumwolle;Material
Satinrock;Satin;Material
elastischer Viskose-Jersey;Viskose;Material
Hochwertiger Baumwoll-Modal;Baumwoll Modal;Material
Baumwollbluse;Baumwolle;Material
Oberstoff: 100% Polyamid;Polyamid;Material
Obermaterial: Textilkombination ;Textil;Material
Materialzusammensetzung: 100% Baumwolle;Baumwolle;Material
Material: Oberstoff: 100% Lyocell;Lyocell;Material
Materialzusammensetzung: Obermaterial: 100% Polyester;Polyester;Material
Materialzusammensetzung: Obermaterial: 100% Lyocell;Lyocell;Material
Materialzusammensetzung: Obermaterial: 100% Viskose;Viskose;Material
Materialzusammensetzung: Obermaterial: 100% Baumwolle;Baumwolle;Material
Material: Oberstoff: 100% Baumwolle;Baumwolle;Material
Aus 100% Viskose;Viskose;Material
Materialzusammensetzung: 100% Kunststoff;Kunststoff;Material
Materialzusammensetzung: Obermaterial: 100% Modal;Modal;Material
Materialzusammensetzung: Obermaterial: 100% Polyamid;Polyamid;Material
Materialzusammensetzung: Obermaterial: 100% Polyacryl;Polyacryl;Material
Materialzusammensetzung: 100% Polyester;Polyester;Material
Materialzusammensetzung: 100% Polyurethan;Polyurethan;Material
Materialzusammensetzung: 100% Polyamid;Polyamid;Material
Material: Oberstoff: 100% Polyester;Polyester;Material
Obermaterial und Futter: Textil (100% Baumwolle);Baumwolle;Material
Materialzusammensetzung: 100% Polyacryl;Polyacryl;Material
Materialzusammensetzung: 100% Viskose;Viskose;Material
Materialzusammensetzung: 100% Recyceltes Polyester;Recycled;Labels
Materialzusammensetzung: Außenmaterial: 100% Polyester;Polyester;Material
Maschinenwäsche, 100% Baumwolle, Model trägt;Baumwolle;Material
Chemisch reinigen, 100% Polyester, Model trägt;Polyester;Material
Maschinenwäsche, 100% Polyester, Model trägt;Polyester;Material
Maschinenwäsche, 100% Viskose, Model;Viskose;Material
Maschinenwäsche, 100% Baumwolle. ASOS Menswear;Baumwolle;Material
Handwäsche, 100% Polyester, Model ;Polyester;Material
Maschinenwäsche, 100% Baumwolle, Unser Model;Baumwolle;Material
Handwäsche, 100% Baumwolle, Model;Baumwolle;Material
Chemisch reinigen, 100% Rayon, unser Model;Rayon;Material
Handwäsche, 100% Viskose, Model;Viskose;Material
Maschinenwäsche, 100% Polyurethan, Unser;Polyurethan;Material
Maschinenwäsche, 100% Acryl.;Acryl;Material
Help Refugees;Help Refugees;Labels
Oeko-Tex Standard;Oeko-Tex Standard;Labels
